QName,Namespace,,,,,,,,,,,,
dct,http://purl.org/dc/terms/,,,,,,,,,,,,
ivissem,http://purl.org/ivissem/vocab/,,,,,,,,,,,,
foaf,http://xmlns.com/foaf/0.1/,,,,,,,,,,,,
schema,https://schema.org/,,,,,,,,,,,,
,,,,,,,,,,,,,
,hasInterestIn,dct,subject,A topic of the resource.,Unspecified,Unspecified,"xsd:string, terms from: Frascati, UNESCO thesaurus of S&T, ...",0…n,,,Person>Person_Subdomain,Or is it,Person>Account> UNION (Tags>Tagged>Collaborative_Recommendations>Research_Output>Domain AND ToRead>ResearchOutput>Domain>)
,hasAffiliation,schema,affiliation,"An organization that this person is affiliated with. For example, a school/university, a club, or a team.",schema:Person,schema:Organization,xsd:string; GRID (https://www.grid.ac/),0...n,,,Person>Person_Institution>Institution,,
,award,schema,awards,An award won by or for this item.,"schema:CreativeWork, schema:Organization, schema:Person, schema:Product, schema:Service",schema:Text,"xsd:string, xsd:anyURI",0....n,,,Person>Award_Attribution>Award>AwardName,,
,hasKnowledge,schema,knowsAbout,"Of a Person, and less typically of an Organization, to indicate a topic that is known about - suggesting possible expertise but not implying it. ","schema:Person, schema:organization",schema:knowsAbout,"schema:Text, schema:URL, schema:Thing",0....n,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
METAKNOWLEDGE,,,,,,,,,,,,,
,,,,,,,,,,,,,
  ,Attribute DM,NameSpace Prefix,Property,Descripton,Original Domain,Original Range ,Allowed values/Datatypes,Cardinality,,,,,
"IViSSEM:User, schema:knowsAbout, IViSSEM:ScientificKnowledge ",,,,,,,,,,,Person_Subdomain,,
,levelOfExpertise,ivissem,levelOfExpertise,The level of expertise on something.,Unspecified,Unspecified,"xsd:string; (http://data.europa.eu/snb/eqf/

)",1,,,Person_Subdomain>ExpertiseLevelCalculated,,
,,,,,,,,,,,,,
"IViSSEM:User, schema:affiliation, IViSSEM:Affiliation",,,,,,,,,,,,,
,starts,schema,startDate,The start date and time of the item (in ISO 8601 date format).,"schema:CreativeWorkSeason, schema:CreativeWorkSeries, schema:EducationalOccupationalProgram, schema:Event, schema:Role, schema:Schedule","schema:CreativeWorkSeason, schema:CreativeWorkSeries, schema:EducationalOccupationalProgram, schema:Event, schema:Role, schema:Schedule",xsd:date,1,,,Person_Institution>Since,,
,ends,schema,endDate,The end date and time of the item (in ISO 8601 date format).,"schema:CreativeWorkSeason, schema:CreativeWorkSeries, schema:EducationalOccupationalProgram, schema:Event, schema:Role, schema:Schedule","schema:CreativeWorkSeason, schema:CreativeWorkSeries, schema:EducationalOccupationalProgram, schema:Event, schema:Role, schema:Schedule",xsd:date,0..1,,,Person_Institution>Until,,
,position,schema,roleName,"To specify the function or part played in a particular situation by the object
",schema:Role,"schema:Text, schema:URL",xsd:string,1,,,Person_Institution>Position,,
